포지션명,경력,주요업무,자격요건,우대사항
AI Agent 개발자,경력 2-10년,"[댓글몽 AI Agent 개발]
• Playwright, Puppeteer, Selenium 등을 활용한 웹 브라우저 자동화 개발
• DOM 조작 및 상호작용을 자동화하여 Perception, Planning, Action 중에서 Action 을 수행
• 비동기 작업과 네트워크 요청 인터셉트를 통해 효율적인 웹 데이터 처리
• 다양한 브라우저(Chrome, Firefox, WebKit 등)를 대상으로 한 대규모 데이터 수집 및 처리
• 르몽의 GPT Action, MCP(Model Context Protocol) 과 같은 Application 개발","• 최소 2년 이상의 업무 경력
• Playwright, Puppeteer 또는 Selenium 중 하나 이상을 활용한 웹 자동화 개발 경험
• JavaScript, TypeScript 또는 Python 개발 능력과 멀티 브라우징 및 병렬 처리 경험
• HTML, CSS, DOM 구조에 대한 이해 및 웹 페이지 요소 조작 경험
• 브라우저 렌더링 성능 최적화 및 네트워크 트래픽 분석",• B2C 서비스 업무 경험이 있으신 분
AI 개발자,경력 3년 이상,"당사는 주얼리 커머스에 특화된 AI 기반 개인화 광고 플랫폼을 개발할 개발자를 찾고 있습니다. 이 포지션은 머신러닝 및 광고 최적화 기술을 활용하여 고객 맞춤형 광고 및 마케팅 자동화 시스템을 구축하는 핵심 역할을 맡게 됩니다. 고객 행동 데이터를 분석하여 최적의 추천 알고리즘을 개발하고, 실시간 데이터 기반 광고 최적화 도구를 구축함으로써 효율적인 마케팅 캠페인을 실행하고자 합니다.
주요 업무
AI 및 머신러닝 기반 개인화 광고 플랫폼 개발: 고객 행동 데이터를 기반으로 한 추천 알고리즘 설계 및 구현
광고 최적화 도구 구축 및 관리: 실시간 데이터 분석을 통해 광고 캠페인 성과 예측 및 최적화
개인 맞춤형 콘텐츠 추천 시스템 개발: 광고 크리에이티브 자동화 및 개인화된 콘텐츠 제공
플랫폼 성능 분석 및 개선: AI 모델 및 알고리즘의 성능을 지속적으로 모니터링하고 개선
클라우드 기반 대규모 데이터 처리: AWS, GCP 등 클라우드 환경에서 데이터 처리 및 모델 배포","자격 요건
AI 및 머신러닝을 활용한 광고 플랫폼 개발 경험 (3년 이상)
Python, TensorFlow, Keras 등 주요 머신러닝 프레임워크에 대한 깊은 이해
데이터 분석 및 모델링 경험 (특히 고객 행동 데이터 기반 추천 알고리즘 개발 경험)
광고 기술(AdTech) 및 실시간 입찰(RTB) 시스템 구축 경험
클라우드 환경(AWS, GCP)에서 대규모 데이터 처리 및 모델 배포 경험","우대 사항
개인 맞춤형 추천 시스템 또는 광고 최적화 시스템 구축 경험
E-commerce, 주얼리 또는 패션 산업에 대한 이해도
컴퓨터 비전(Computer Vision), 자연어 처리(NLP) 관련 프로젝트 경험
광고 크리에이티브 제작 및 성과 최적화 관련 경험"
Senior Data Analyst,경력 7-12년,"• 데이터 전략을 수립하고 실행합니다.
• 회사의 비즈니스 목표와 일치하는 데이터 전략을 개발하고 실행합니다.
• 데이터 분석팀의 KPI를 설계하고 관리합니다.
• 데이터 플랫폼 및 인프라팀과 함께 데이터 아키텍처 및 거버넌스를 설계하고 최적화를 진행합니다.
• 다양한 데이터 소스 분석을 통한 비즈니스 인사이트를 도출하고 전사에 공유합니다.
• 데이터 기반의 의사결정을 지원, 전략을 제안합니다.
• 데이터 분석 중앙 프로젝트 기획, 실행, 관리하고 결과를 도출합니다.
• 프로젝트 타임라인과 목표를 설정하고 팀의 업무를 조율합니다.
• 데이터 오너로서 다양한 부서의 이슈 및 데이터 니즈를 파악하고 해결책을 제공합니다.
• 사내외 이해관계자들에게 데이터의 중요성을 효과적으로 전달합니다.","• 수학, 통계학, 수학, 경영학, 산업공학 또는 관련 분야의 학사 이상의 학위를 보유하신 분
• 데이터 분석, 데이터 과학, 또는 관련 분야에서 최소 7년 이상의 경력을 보유하신 분
• SQL, Python, R 등 데이터 분석 언어에 대한 높은 숙련도를 보유하신 분
• 데이터 시각화 도구(Redash, Tableau) 사용 경험이 있으신 분","• 수학, 통계, 산업공학 등 관련 전공하신 분
• 데이터 시각화 도구(Redash, Tableau) 사용 경험이 있으신 분
• 콘텐츠를 좋아하거나 컨텐츠 플랫폼, OTT, 비디오 스트리밍 회사 근무 경험이 있으신 분"
Senior Product Owner,경력 8-15년,"• 제품 전략 및 로드맵을 수립합니다.
• 목표 달성을 위해 문제를 정의하고 가설을 검증합니다.
• 프로젝트 일정 계획을 수립하며 관리합니다.
• 담당 크루의 일하는 방식과 프로토콜을 셋업하고 관리합니다.","• PO (Product Owner), PM (Product Manager) 경험 8년 이상 있으신 분
• 문제 정의부터 해결하는 전 과정에서 사용자의 니즈를 파악하고 가설 검증하는 경험이 익숙한 분
• 액션 아이템과 비즈니스 임팩트를 논리적이고 합리적으로 연결하여 우선 순위를 판단할 수 있는 분
• 기술 조직과 협업하는데 도움되는 기초 지식과 개념에 대한 이해도가 있으신 분","• 본인이 직접적으로 기여하여 비즈니스 성과를 달성해본 경험이 있는 분
• 시도와 레슨을 반복 축적하며 제품의 성공을 이끌어본 경험이 있는 분
• 전략 컨설팅, 인하우스 전략팀 등 전략/기획 업무 경험이 있는 분
• 100만 MAU 이상의 모바일 서비스/플랫폼 기획/운영 경험이 있는 분
[채용 프로세스]
• 서류 전형 ＞ 과제 전형 ＞ 1차 면접＞2차 면접 ＞ 입사
- 과제 제출해주심에 감사의 마음을 담아 소정의 과제비를 드립니다.
[제출 서류]
• 자유양식의 이력서, 지원동기를 포함한 지원서 'Why Remember'
• 포트폴리오"
AI Engineer (5~10년차),경력 5-10년,"리얼드로우의 AI Enginneer는 이미지 생성 AI에 대한 새로운 연구를 기반으로 정확한 학습데이터를 규정하고, 적은 학습데이터로 작가의 의도를 정확히 구현하는 모델링을 담당합니다. 때문에 리서치에 대한 탐구와 집착에서 시작하여 연구 결과를 엔지니어링으로 구현할 수 있는 분을 찾고 있습니다.
--
►","► Tech 팀 기술 스택
• 언어: Python
• 프레임워크: Pytorch, Tensorflow, FastAPI, Gradio, Jupyter Notebook
• 인프라: Linux, Docker, AWS
► 필수 역량
• 이미지 생성 AI 관련 최신 논문의 이해 및 구현 역량이 있는 분
• 도메인 관계없이 개발 경력 5년 이상이신 분
► 지원 예정인 분은 한번 더 확인해주세요.
• Chat GPT로만 코딩하시는 분은 안돼요
• 새로운 업무(언어, 지식습득)에 거부감이 있으신 분은 안돼요
• 영어 실력과 무관히 영어 자료만 보면 딴짓하고 싶은 분은 안돼요","• GitHub 또는 공유 가능한 코드 링크 제출 시 우대
• AI 관련 분야 전공자 또는 이에 준하는 유관 업무 경험을 2년 이상 보유한 분
• AI 기반의 서비스 출시 경험 보유자
• 새로운 기술에 관심이 많은 분
• 웹툰에 대한 높은 관심과 애정 보유자
• ..오타쿠시죠? 그럴거라 믿어요.. 제발"
AI-Powered 어플리케이션 설계 도구 개발 리더,경력 7-15년,"• 어플리케이션 설계 도구 총괄 책임
- Eclipse 기반 설계 도구의 전반적인 개발 및 운영 리딩
- 기존 아키텍처 개선을 통한 도구의 성능 및 품질 향상
• 생성형 AI 연동 개발 총괄
- AI 연동 자동화 기능 확장을 위한 신규 요건 파악
- AI 연동 관련 기능 개발 및 구현 총괄
• 어플리케이션 설계 도구 운영 및 지원
- 프로젝트별 도구 적용 지원
- 도구 관련 기술 지원 및 문제 해결
• 조직 및 인력 관리
- 개발팀 인력 관리 및 업무 조율
- 기술적 리더십을 통한 팀원들의 역량 강화
- 팀 구성원의 성장을 위한 멘토링 및 교육 지원","• 소프트웨어 개발 및 아키텍처 설계 경력 7년 이상 (15년 이하)
• Eclipse RCP/Plugin 아키텍처 설계 및 개발 경험 보유
• Java 기반 애플리케이션 설계/개발 프로젝트 리딩 경험
• 개발 조직 리딩 및 프로젝트 관리 경험","• 대규모 SI 프로젝트 수행 경험
• Eclipse Plugin 기반 애플리케이션 개발 경험
• EMF(Eclipse Modeling Framework) 기반 도구 개발 경험
• 생성형 AI 기술을 활용한 프로젝트 경험
• 어플리케이션 설계 도구 개발 및 운영 경험
• 소프트웨어 개발방법론 및 프로젝트 품질관리 관련 지식"
AI-Powered 어플리케이션 설계 도구 개발자,경력 3-7년,"• 설계 도구 개발 및 운영
- Eclipse 플러그인 기반 설계 도구 기능 개발
- 기존 기능 유지보수 및 성능 개선
- 생성형 AI 연동 모듈 개발
• 품질 관리
- 단위 테스트 및 통합 테스트 수행
- 코드 리뷰 참여
- 버그 수정 및 품질 개선 활동
• 기술 지원
- 프로젝트별 설계 도구 커스터마이징 및 기술 지원
- 사용자 매뉴얼 작성 및 교육 수행
- 기술 문서 작성 및 산출물 관리","• Java 개발 실무 경력 3~7년
• Spring Framework 기반 웹 애플리케이션 개발 경험
• RDBMS 활용 및 SQL 쿼리 작성 역량
• Eclipse Plugin / RCP 개발 경험 (",)
AI-Powered 어플리케이션 설계 도구 시니어 개발자,경력 25-35년,"• 프로젝트 지원
- 고객사별 요구사항 분석 및 설계 도구 기술 지원(커스터마이징, 버그 패치 등)
- 설계 도구 사용법 교육 및 프로젝트 이슈 해결
- 위험 관리 및 기술적 의사결정 지원
• 기술 문서화
- 설계 도구 사용 가이드 및 활용 모범 사례 정리
- 프로젝트 수행 가이드라인 작성
- 기술 지식 체계화 및 문서화
• 기술 자문 및 멘토링
- Eclipse Plugin 기반 설계 도구의 프로젝트 적용 전략 수립
- 주니어/미들 개발자 대상 기술 멘토링 및 코드 리뷰
- 개발 프로세스 개선 및 품질 향상을 위한 자문","• Eclipse Plugin / RCP 기반 솔루션 개발 및 기술지원 경험
• Java 기반 엔터프라이즈 애플리케이션 개발 경험
• 다수의 프로젝트 수행 및 기술 지원 경험 보유
• 원활한 커뮤니케이션 능력과 리더십","• 대형 SI 업체 근무 경력
• 대규모 차세대 프로젝트 수행 경험
• 기술 교육 및 멘토링 활동 경험
• 영어 기술 문서 작성 및 해외 고객사 기술 지원 경험"
AI-Powered 어플리케이션 설계 도구 영업 리더,경력 10-15년,"• 솔루션 사업 전략 수립 및 실행
- 시장 분석 및 사업 전략 수립
- 연간 매출 목표 수립 및 달성 전략 기획
- 신규 시장 개척 및 사업 기회 발굴
• 영업/마케팅 조직 총괄
- 영업/마케팅 조직 구축 및 운영
- 영업 프로세스 수립 및 관리
- 팀원 역량 강화 및 성과 관리
• 대형 고객사 관리
- 주요 고객사 관계 관리 및 신규 고객 확보
- 전략적 파트너십 구축 및 관리
- 대형 프로젝트 수주 전략 수립 및 실행
• 솔루션 마케팅 전략 수립
- 제품 포지셔닝 및 마케팅 전략 수립
- 시장 진입 전략 기획 및 실행
- 브랜드 인지도 제고 활동 기획","• IT 솔루션/SI 영업 경력 10년 이상
• 소프트웨어 개발 도구 또는 플랫폼 영업 경험
• 대형 프로젝트 수주 경험
• 영업/마케팅 조직 관리 경험","• 대형 SI 회사 근무 경험
• SW 개발 도구 또는 AI 솔루션 영업 경험
• 글로벌 IT 기업 영업/마케팅 경험
• 기업용 소프트웨어(Enterprise Software) 영업 경험
• 플랫폼/솔루션 비즈니스 전략 수립 경험
• IT 관련 학과 전공자 또는 기술 이해도 보유자"
[인턴] AI기업 Business Research,신입,"• 국내 및 글로벌 AI & 로보틱스 시장 조사 및 분석 (정량/정성 리서치 포함)
• AI, 딥테크, 스타트업 관련 비즈니스 전략 및 보고서 작성
• 일본 출장 포함, 주요 파트너사 미팅 참석 및 자료 정리","• 학부 3학년 이상 또는 졸업 예정자 / 기졸업자
• AI, 로보틱스, 스타트업, 기술 경영 등에 관심이 많고 빠르게 학습하며 성장할 의지가 있는 분","• 영어, 일본어 능통자 (글로벌 협업 및 미팅 참여 가능자)
• AI, 로보틱스 관련 연구 및 프로젝트 경험 보유자
• 스타트업, 컨설팅, 테크기업 인턴 경험 보유자"
[R&D] ML/DL 엔지니어 (5년 이상),경력 5년 이상,"• 모델에 활용할 수 있는 API를 구현
• Digital Dentistry Saas에서 사용될 AI 모델을 구현
• 3D file(.stl, .obj, .ply)을 인식하고 생성하는 AI 모델을 구현
• 정부과제 R&D 과제 제안서, 수행계획서, 보고서 등 문서 작성 및 관리","• 진취적이고 도전적이며 창의적이신 분
• 컴퓨터 비전 및 딥러닝에 대한 지식이 있으신 분
• 컴퓨터 공학, 통계 및 확률에 대한 지식을 갖추고 있으신 분
• PyTorch 또는 Tensorflow와 같은 딥러닝 프레임워크에 익숙하신 분
• 관련 분야 석사이상 학위 소지자 또는 해당 업무 5년 이상 경력자
• 자기가 맡은 일만 뿐만 아니라 동료들과 함께 책임감 있게 업무를 수행할 수 있으신 분
• AI 관련 리딩 경험 및 원활한 커뮤니케이션 능력 보유자","• AI 관련 학위 (석사/박사) 소지자
• 스타트업에서의 경험 또는 AI 솔루션 상용화 경험
• 3D Mesh Generation에 대한 경험이 있으신 분
• DL/CV 관련 주요 국제 학회 발표 또는 SCI/E 저널 게재
• 국가 연구개발 사업의 프로젝트 관리 경험
• 소프트웨어 R&D 성과측정지표에 대한 지식과 경험
• 정부 R&D 과제 제안서/보고서 작성 혹은 수행 경험 보유"
영상팀 팀장 (매니저/PD),경력 3년 이상,"(외부 활동) AI 영상 편집을 필요로 하는 고객사를 발굴하고 구체적인 편집 니즈를 확인
• 경영전략실과 협업하여 시장 분석, 고객사 리스트업 후 영업/마케팅 활동
• 경영전략실과 협업하여 고객사 미팅에 참석하고 고객의 구체적 편집 니즈를 정리.
• 고객사와 PoC 등 진행하는 프로젝트에 대한 프로세스 관리
(내부 활동) 영상 편집 AI 기술 개발에 대한 요구사항 설정 및 피드백을 제시하면서 프로젝트를 관리
• 고객사의 요구사항을 연구팀이 이를 AI 모델로 구현할 수 있도록 구체화 하고 논의를 리드
• AI 결과물에 대해 후작업을 하여 고객에게 딜리버리
(ex. AI가 추출한 하이라이트를 바탕으로 다양한 영상을 마스터 편집)
• 영상 콘텐츠 템플릿 디자인 제작
(ex. 고객사의 요구사항 및 레퍼런스를 참고하여 영상에 바로 얹힐 수 있는 형태로 템플릿화)
• 연구팀이 개발한 AI 편집 성능을 고객 관점에서 평가하고 피드백 제시
(ex. AI 기능을 직접 사용해 보고 필요 기능을 제안 하거나 사용성 관련 피드백을 제공)
• 연구팀이 개발한 AI 편집 기술을 프로덕트(AI 편집 앱)에 반영할 수 있게 개발팀과 협업","• 다양한 분야 영상 콘텐츠 기획, 제작 및 편집, 운영, 관련 프로젝트 관리 경험 3년 이상
• 하이라이트 숏폼(유튜브 쇼츠, 인스타 릴스 등) 제작 경험이 있으신 분
• 영상 및 이미지 편집, 촬영, 기획 업무에 대한 기본적인 이해와 편집툴과 디자인툴 작업 능력 보유
(ex. Premiere Pro, After Effects, Illustrator, Photoshop)
• 다양한 의견을 서로 존중하고 원활하게 소통하며 협업 할 수 있으신 분","• 방송국, OTT, 제작사, MCN, 마케팅 대행사 등 영상 콘텐츠 관련 기업 경력 보유
• 예능, 드라마, 영화, 뉴스, SNS 혹은 커머스 콘텐츠 관련 프로모션/이벤트 경험 보유
• 고객사에 직접 발굴하여 커뮤니케이션 및 제작/편집 프로세스를 리드 한 경험
• 자체 유튜브 채널 운영 경험 (인스타/틱톡포함) **포트폴리오 제출 요망 (링크or첨부파일)
• 효율적인 편집 작업 프로세스를 구축한 경험이 있으신 분
• 슬랙 및 노션 등의 협업 툴 사용이 익숙하신 분
• 새로운 분야 도전에 대하여 긍정적이며 창의적이신분"
"CTO (Gen AI, 머신 러닝)",경력 5-10년,"• 에듀테크 서비스의 기술 방향성 설정 및 로드맵 구축.
• 서비스 개발 실무 (AI 툴 적극 활용 필수)
• 미국 입시 교외활동 추천 AI 기반 솔루션 및 서비스 아키텍처 설계.
• 최신 기술 트렌드 분석 및 도입 전략 수립.
• 개발팀 리딩 및 프로젝트 관리, 수행
• 효율적인 개발 프로세스 구축 및 운영.
• 서비스 확장성을 고려한 시스템 설계 및 구현.","• AI(인공지능) 및 머신러닝 분야의 전문가로, 관련 실무 경험 5년 이상.
• 서비스 아키텍처 설계 및 운영 경험.
• 다양한 개발 언어 및 프레임워크에 대한 깊은 이해 (예: Python, TypeScript, React, Node.js 등).
• DevOps, 클라우드 인프라(AWS, GCP 등) 및 CI/CD 경험.
• 개발팀 리딩 및 협업 경험 (10인 이상 팀 관리 우대).
• 문제 해결 능력과 뛰어난 커뮤니케이션 스킬.
• AI 개발 툴 사용 경험 (Cursor, V0, Lovable, Bolt, Co-Pilot, 등)","• 에듀테크 서비스 또는 스타트업 근무 경험.
• AI 모델 최적화 및 MLOps 관련 경험.
• 글로벌 서비스 개발 및 운영 경험.
• 기술 특허 등록 또는 논문 게재 경험.
• 영어 커뮤니케이션 능력 우수자."
산업용 3D프린터 PC제어/SW (연구직),경력 3년 이상,"• 3D 프린팅 관련 설비 PC제어 프로그램 개발
• 3D 프린팅 관련 응용 SW 개발
• Motion/Galvo Scanner/LASER 등 제어 프로그램 개발
• 장비 시퀀스 프로그램 개발
• HMI 및 통신제어 프로그램 개발","• 해외출장에 결격 사유가 없는 자
• 컴퓨터공학등 유사학과 졸업자(4년)
• C# 프로그래밍 경력 및 유관 직무 경력자","• 3D프린팅 관련 직무 근무 경험
• 물류/자동화 프로젝트 수행 경험
• MES 구축 경험
• 비전/물류 데이터 수집 및 처리 경험
• AI 관련 프로젝트 기획 및 관리 유 경험자
• 대전 근무 가능자(26년 이후)"
디지털 콘텐츠 AE (3년 이상),경력 3-10년,"• 웹/모바일 사이트, 페이지 기획 및 콘텐츠 제작
• 소셜미디어 채널 운영 및 관리 전반(인스타그램, 페이스북, 블로그, 카카오톡채널, 유튜브 등)
• 소셜미디어 채널별 콘텐츠 기획 및 원고 작성
• 크리에이티브 핸들링, 에디팅(촬영, 제작물 등)
• 광고 집행 및 리포트 등 관리","•  소셜미디어 채널 운영 유경험자
• 콘텐츠 기획, 원고 작성 유경험자 또는 가능자
• 브랜디드 콘텐츠 제작 유경험자 또는 가능자
• 유튜브, 인스타그램 콘텐츠 영상 및 사진 촬영 핸들링 유경험자
필요역량
● 소셜미디어 채널 플랫폼에 대한 이해 및 관심
● 디자인, 사진 등 비주얼 및 퀄리티에 대한 이해
● 디지털 트랜렌드 및 웹 / 모바일 플랫폼에 대한 이해","• 촬영 디렉팅 등 현장 경험 있으면 에디터로 우대
• 영어 네이티브, 비즈니스 영어 커뮤니케이션 가능 시 우대"
퍼포먼스 마케터 1년 이상,경력 1-8년,"- 네이버/다음/구글 등 검색광고 전략기획 및 운영관리
- 구글/카카오모먼트 등 퍼포먼스 DA광고 전략기획 및 운영관리
- 퍼포먼스 광고제안서 기획 및 작성","• 직급 : 사원(경력 년이상)-차장(경력 8년이상)
• 학력 : 무관
• 전공 : 무관(유관학과 우대)
• 필요경력
대리급 :
• 온라인 광고대행사 (검색/퍼포먼스 캠페인) 만 3년 이상 근무 이력
• 팀 단위 디지털 퍼포먼스 마케팅 캠페인 집행 이력
과장/차장급 :
• 온라인 광고대행사 (검색/퍼포먼스 캠페인) 만 6년 이상 근무 이력
• 팀 단위 디지털 퍼포먼스 마케팅 캠페인 집행 이력
• 주니어급 인력 매니징 경력 보유 必
• 필요역량
퍼포먼스 마케팅에 대한 높은 이해도 & 검색광고 집행이력 필수
SA/DA/SNS/Video 퍼포먼스 운영전략 수립 및 최적화 수행 역량
퍼포먼스 캠페인 분석 및 광고제안서 작성 역량
상급 수준의 EXCEL / PPT 활용 역량
GA / APP 서드파티 트래커 상급 수준 활용 역량","- 검색광고 대행사 출신 우대
- 경력사항 작성 시 담당 광고주 및 상세 캠페인명 기재 필수
- 금융사, DB게더링 퍼포먼스(검색광고 필수) 캠페인 집행 이력 우대
- GA/GTM/코딩/통계관련 TOOL 활용 가능자 우대
- 관련자격증 보유 우대"
서비스 기획자,경력 3-7년,"• 글로벌 아이돌 챗봇 서비스 기획
• 프로덕트 로드맵을 바탕으로 추진 과제를 선정하여 제품의 핵심 가치 고도화
• 사용자 인터뷰, 지표 분석 등을 통해 고객을 이해하고 문제를 정의
• 문제 정의에 따른 제품 가설을 수립하고 실험을 통해 가설을 검증
• 스토리보드, IA, 플로우차트, 와이어프레임, 정책서 등 기획서를 통해 다양한 이해관계자들과의 협업
• 기획부터 배포까지 프로덕트를 출시하는 전 과정을 책임지고 애자일 스쿼드를 리딩","• 3~7년의 프로덕트/서비스 기획 경력
• 높은 목표와 그를 완수하기 위한 책임감 및 긍정적 마인드
• B2C 모바일 서비스에서 사용자의 문제를 정의하고 해결한 경험
• 애자일, 스쿼드 및 스프린트 방식 등 속도감 있는 스타트업 환경에 익숙
• JIRA, NOTION, FIGMA에 익숙",프로덕트 기획-개발-론칭-운영 전 프로세스 경험 보유
ML Engineer (전문연 지원 가능),경력 3-15년,"• 대용량 트래픽을 효율적이고 강건하게 처리할 수 있는 AI 서비스 배포
• AI 서비스의 상태나 사용량을 모니터링 할 수 있는 시스템 개발
• 멀티노드 환경에서 효율적으로 학습할 수 있는 파이프라인 구축
• vLLM, SGLang, DeepSpeed, Triton 등의 오픈소스 프레임워크 지속 비교 및 활용
• 데이터를 효율적으로 저장하고 가용성과 품질을 보장할 수 있도록 관리
• ML 워크플로우 개선을 위한 도구 및 라이브러리 개발","• LLM의 기본 동작 원리를 알고 기술 발전 흐름 설명 가능자
• vLLM, SGLang, Triton, TensorRT, LightLLM 등 서빙 F/W 중 일부의 특징과 성능 비교 분석 경험
• DeepSpeed, Megatron-LM, PyTorch Lightning, Horovod 등 학습 F/W 중 하나 이상을 전문적으로 사용해 본 경험
• 자료구조, 네트워크에 대한 기본 지식 보유","• 프로덕션 환경에서의 A/B 테스트 및 모델 검증 경험이
• RAG 등 LLM 워크플로우 구성 경험
• Docker, Kubernetes 등 컨테이너 기술을 전문적으로 활용한 경험 보유
• 분산 시스템 및 대용량 데이터 처리 경험
• 클라우드 환경에서의 AI 서비스 구축 및 운영 경험
• MLOps 파이프라인 구축 경험
• GPU 클러스터 관리 및 활용 경험
• 다양한 오픈소스를 활용하거나 외부 서비스와의 연동 개발 경험"
AI Engineer (전문연 지원 가능),경력 3-10년,"• LLM, 멀티모달, 임베딩 모델을 활용하여 고객사의 요구에 맞춘 AI 기반 솔루션 개발/배포
• 다양한 인공지능 에이전트를 구축하여 고객사의 비즈니스 효율화를 지원
• LangChain, LangGraph와 같은 오픈소스 프레임워크를 활용하여 맞춤형 검색과 개인화 기능 최적화
• 고객사 문제 분석을 통한 맞춤형 RAG 기반 솔루션 설계, 데이터 검색과 생성형 응답을 결합한 고성능 AI 서비스 제공
• 대규모 데이터의 효율적 관리, 고객사 니즈에 맞는 분석과 보고서 생성을 자동화할 수 있는 AI 모델 설계 및 최적화
• 고객사와 협업하여 비즈니스에 직접적인 가치를 제공할 수 있는 AI 솔루션  기획/개발","• 컴퓨터공학 및 관련학과 학사 이상의 학력, 전문연 지원자는 석사 이상
• LLM과 RAG 관련 기술에 대한 기본 지식과 실무 경험 보유
• LangChain, LangGraph와 같은 오픈소스 프레임워크를 활용한 AI 솔루션 개발 경험
• LLM 기반 에이전트(데이터 분석, 보고서 생성, 개인화) 개발 경험이나 이에 높은 이해도 보유
• 주요 AI 프레임워크 활용 가능자
ㄴ Python, PyTorch, TensorFlow, Langchain, Langraph, Rasa, Flowise, Langfuse와 같은
• 비즈니스 문제를 해결하기 위한 고객 맞춤형 솔루션 설계 및 개발 역량","• 컴퓨터 공학 관련 석사/박사 학위
• 벡터 검색 및 RAG 솔루션에 대한 경험
• 대규모 AI 모델 및 데이터를 다루고 최적화한 경험
• Docker, Kubernetes 등 컨테이너 기술에 대한 경험
• LLM, 임베딩, 멀티모달 모델 학습을 위한 데이터셋 생성, 학습 및 배포 경험
• AI 모델을 비즈니스 환경에 통합하여 고객 경험을 최적화한 경험"
[인공지능솔루션] Project Manager,경력 5-20년,"• 고객사의 비즈니스 요구사항을 이해하고, 이를 반영한 AI 프로젝트 계획 및 실행 총괄
• LLM, 멀티모달, RAG 등 다양한 AI 솔루션을 활용하여 고객사에 맞춤형 AI 프로젝트를 기획
• 효율적인 솔루션 제안을 통해 프로젝트의 성공적인 실행 지원
• 프로젝트의 일정, 예산, 리소스 관리를 담당
• 프로젝트 진행 상황을 체계적으로 모니터링하고 보고서를 작성하여 고객사 및 내부 이해관계자 공유
•  다양한 내부 팀과 협력하여 프로젝트 목표를 달성, 고객사와 원활한 소통을 유지하며 신뢰 구축
• AI 모델 및 솔루션이 고객사의 기대에 부합하는지 지속적으로 **성능 및 품질을 검토**하고 필요한 경우 개선 사항을 제안합니다.
• 고객사의 피드백을 바탕으로 **프로젝트 완료 후 AI 솔루션을 최적화**하고, 추가적인 서비스 기회를 발굴하여 장기적인 파트너십을 구축합니다.","• PM 업무 경력 최소 5년 이상
• 인공지능 전반에 대한 기본 지식과 이해 보유, 이를 비즈니스 요구와 연계할 수 있는 능력
• AI 프로젝트 관리 및 B2B 고객사 프로젝트 경험 보유
• 프로젝트 관리 소프트웨어 사용 경험, 프로젝트 관리 프로세스(PMP, 애자일 등)에 대한 이해
• 고객사와의 신뢰관계 구축을 위한 탁월한 의사소통 및 협상 능력
• 다수의 팀과 협력 가능한 조직 관리 및 팀 협업 능력
• 데이터 및 성과 기반의 보고서 작성, 결과 분석을 통해 프로젝트 성과를 객관적으로 입증 가능자","• LLM, RAG, 멀티모달 모델을 포함한 최신 AI 기술 프로젝트 경험 보유
• 대규모 B2B 고객사 프로젝트 관리 경험이 있고 복잡한 요구사항을 효과적으로 조율한 경험
• 컨설팅 회사나 대규모 AI 프로젝트에서의 PM 역할 수행 경험
• 고객사 맞춤형 AI 솔루션 기획 및 최적화, AI 프로젝트 기술적 요구사항 분석 및 설계 경험
• k8s 에 대한 기본적인 이해와 사용 경험
• 대기업 SI 프로젝트 개발 및 산출물 문서화 경험"
[인공지능 솔루션] Business Development,경력 3-10년,"• 고객 요구사항을 분석하고 이를 바탕으로 인공지능 솔루션 제안
• 생성형 AI 솔루션의 신규 고객 및 사업기회 발굴
• 비즈니스 파트너 신규 발굴 및 관리
• Sales Pipeline 관리, 견적/계약 체결","• 학사 이상, 전공 무관
• SI, 솔루션 B2B 세일즈, 사업개발 경력 3년 이상, 10년 이하
• LLM을 비롯한 생성형 AI 기술 이해도 보유
• 신규 파트너십 체결 및 협업 실무 수행 경험
• 공공, 제조업, 대기업 엔터프라이즈 End-user 영업 경험자
• 고객과의 원활한 커뮤니케이션 능력","• 인공지능 기술에 대한 깊은 이해와 관심, 개발/컨설팅 경험
• 솔루션·SI·ERP·CRM 업종에서의 경력자
• 제조, 공공을 비롯한 다양한 분야에서 네트워크 보유
• 신규 사업 및 신규 고객 발굴에 대한 흥미와 열정을 가지신 분"
